reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-21,wk flu hosp rate change,0,2026-02-21,47,pmf,large_decrease,0.00899100899100899
2026-02-21,wk flu hosp rate change,0,2026-02-21,47,pmf,large_increase,0.000999000999000999
2026-02-21,wk flu hosp rate change,0,2026-02-21,47,pmf,stable,0.33866133866133863
2026-02-21,wk flu hosp rate change,0,2026-02-21,48,pmf,decrease,0.61
2026-02-21,wk flu hosp rate change,0,2026-02-21,48,pmf,increase,0.11
2026-02-21,wk flu hosp rate change,0,2026-02-21,48,pmf,large_decrease,0.061
2026-02-21,wk flu hosp rate change,0,2026-02-21,48,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,48,pmf,stable,0.2180000000000001
2026-02-21,wk flu hosp rate change,0,2026-02-21,49,pmf,decrease,0.421
2026-02-21,wk flu hosp rate change,0,2026-02-21,49,pmf,increase,0.112
2026-02-21,wk flu hosp rate change,0,2026-02-21,49,pmf,large_decrease,0.008
2026-02-21,wk flu hosp rate change,0,2026-02-21,49,pmf,large_increase,0.007
2026-02-21,wk flu hosp rate change,0,2026-02-21,49,pmf,stable,0.452
2026-02-21,wk flu hosp rate change,0,2026-02-21,50,pmf,decrease,0.318
2026-02-21,wk flu hosp rate change,0,2026-02-21,50,pmf,increase,0.071
2026-02-21,wk flu hosp rate change,0,2026-02-21,50,pmf,large_decrease,0.047
2026-02-21,wk flu hosp rate change,0,2026-02-21,50,pmf,large_increase,0.003
2026-02-21,wk flu hosp rate change,0,2026-02-21,50,pmf,stable,0.561
2026-02-21,wk flu hosp rate change,0,2026-02-21,51,pmf,decrease,0.599
2026-02-21,wk flu hosp rate change,0,2026-02-21,51,pmf,increase,0.061
2026-02-21,wk flu hosp rate change,0,2026-02-21,51,pmf,large_decrease,0.073
2026-02-21,wk flu hosp rate change,0,2026-02-21,51,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,51,pmf,stable,0.2650000000000001
